lon,lat,hit@1,hit@3,reciprocal_rank,true_class_probability
105.8634897,13.1548949,1,1,1.0,0.9765625
105.8634897,13.1548949,1,1,1.0,0.94921875
105.8634897,13.1548949,1,1,1.0,0.96337890625
105.8634897,13.1548949,1,1,1.0,0.97900390625
105.8634897,13.1548949,1,1,1.0,0.9658203125
105.8634897,13.1548949,1,1,1.0,0.81298828125
105.8634897,13.1548949,1,1,1.0,0.97119140625
105.8634897,13.1548949,1,1,1.0,0.9609375
105.8634897,13.1548949,1,1,1.0,0.955078125
105.8634897,13.1548949,1,1,1.0,0.85595703125
105.8634897,13.1548949,1,1,1.0,0.93359375
105.8634897,13.1548949,1,1,1.0,0.9638671875
105.8634897,13.1548949,1,1,1.0,0.85888671875
105.8634897,13.1548949,1,1,1.0,0.95654296875
105.8634897,13.1548949,1,1,1.0,0.483642578125
105.8634897,13.1548949,1,1,1.0,0.892578125
105.8780744,13.18347867,1,1,1.0,0.97021484375
105.8780744,13.18347867,1,1,1.0,0.9765625
105.8780744,13.18347867,1,1,1.0,0.9794921875
105.8780744,13.18347867,1,1,1.0,0.9736328125
105.8780744,13.18347867,1,1,1.0,0.95751953125
105.8780744,13.18347867,1,1,1.0,0.734375
105.8780744,13.18347867,1,1,1.0,0.9765625
105.8780744,13.18347867,1,1,1.0,0.9541015625
105.8780744,13.18347867,1,1,1.0,0.7705078125
105.8780744,13.18347867,1,1,1.0,0.6884765625
105.8780744,13.18347867,-1,1,0.5,0.27685546875
105.8780744,13.18347867,1,1,1.0,0.95751953125
105.8780744,13.18347867,1,1,1.0,0.91259765625
105.8780744,13.18347867,1,1,1.0,0.95166015625
105.8780744,13.18347867,-1,1,0.5,0.10089111328125
105.8780744,13.18347867,1,1,1.0,0.88623046875
-91.01456615,30.21185036,-1,-1,0.0,0.040496826171875
-91.01456615,30.21185036,-1,-1,0.0,0.051727294921875
-91.01456615,30.21185036,-1,-1,0.0,0.0276031494140625
-91.01456615,30.21185036,-1,-1,0.0,0.08587646484375
-91.01456615,30.21185036,-1,1,0.5,0.301513671875
-91.01456615,30.21185036,-1,-1,0.0,0.0701904296875
-91.01456615,30.21185036,-1,1,0.3333333333333333,0.04278564453125
-91.01456615,30.21185036,-1,1,0.3333333333333333,0.12353515625
-91.01456615,30.21185036,-1,1,0.5,0.25341796875
-91.01456615,30.21185036,-1,1,0.3333333333333333,0.07000732421875
-91.01456615,30.21185036,-1,1,0.3333333333333333,0.1346435546875
-91.01456615,30.21185036,-1,1,0.5,0.26123046875
-91.01456615,30.21185036,-1,1,0.5,0.235595703125
