image_id,lon,lat,hit@1,hit@3,reciprocal_rank,category,predicted_categories
48,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Tree cover, needleleaved, evergreen, closed to open (>15%)', 'Herbaceous cover', 'Shrubland']"
49,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, broadleaved, deciduous, closed to open (>15%)', 'Tree or shrub cover', 'Shrubland', 'Grassland']"
50,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)', 'Tree cover, broadleaved, deciduous, closed to open (>15%)', 'Tree cover, broadleaved, deciduous, closed (>40%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)']"
51,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Shrubland', 'Tree cover, broadleaved, deciduous, closed to open (>15%)']"
52,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, broadleaved, deciduous, closed to open (>15%)', 'Mosaic tree and shrub (>50%) / herbaceous cover (<50%)', 'Tree cover, needleleaved, evergreen, closed to open (>15%)', 'Shrubland']"
53,105.8634897,13.1548949,-1,1,0.3333333333333333,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Water bodies', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Cropland, irrigated or post-flooding', 'Tree cover, needleleaved, evergreen, closed to open (>15%)']"
54,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, needleleaved, evergreen, closed to open (>15%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Shrubland', 'Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)']"
55,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Shrubland', 'Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)', 'Grassland']"
56,105.8634897,13.1548949,-1,-1,0.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, evergreen, closed to open (>15%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Tree cover, needleleaved, evergreen, closed to open (>15%)', 'Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)', 'Shrubland']"
57,105.8634897,13.1548949,1,1,1.0,"Tree cover, broadleaved, evergreen, closed to open (>15%)","['Tree cover, broadleaved, evergreen, closed to open (>15%)', 'Tree cover, needleleaved, evergreen, closed to open (>15%)', 'Tree cover, mixed leaf type (broadleaved and needleleaved)', 'Tree cover, broadleaved, deciduous, closed to open (>15%)', 'Shrubland']"
