index,hit@1,hit@3,lon,lat,probabilities
0,-1,1,18.26889353,46.9378412,"[[0.0855712890625, 0.1282958984375, 0.10723876953125, 0.07232666015625, 0.172119140625, 0.08367919921875, 0.034576416015625, 0.13623046875, 0.11724853515625, 0.06280517578125]]"
1,1,1,4.261480855,48.82590978,"[[0.04888916015625, 0.051513671875, 0.169677734375, 0.0928955078125, 0.1148681640625, 0.0601806640625, 0.050872802734375, 0.07000732421875, 0.276123046875, 0.06512451171875]]"
2,1,1,16.33749369,48.38533523,"[[0.1143798828125, 0.07952880859375, 0.0535888671875, 0.045928955078125, 0.0841064453125, 0.11907958984375, 0.1827392578125, 0.052276611328125, 0.046112060546875, 0.2222900390625]]"
3,1,1,11.30866211,53.13592287,"[[0.08843994140625, 0.254150390625, 0.073974609375, 0.06646728515625, 0.09130859375, 0.0675048828125, 0.052215576171875, 0.189208984375, 0.06109619140625, 0.05560302734375]]"
4,1,1,18.5633555,47.04091533,"[[0.06976318359375, 0.1365966796875, 0.0965576171875, 0.06744384765625, 0.10626220703125, 0.05035400390625, 0.128173828125, 0.1226806640625, 0.06488037109375, 0.1572265625]]"
5,1,1,9.182038252,57.0401314,"[[0.040313720703125, 0.090576171875, 0.1817626953125, 0.0943603515625, 0.09576416015625, 0.040771484375, 0.0408935546875, 0.128173828125, 0.2421875, 0.04510498046875]]"
6,1,1,-1.952073025,39.00622313,"[[0.066162109375, 0.0513916015625, 0.1278076171875, 0.10595703125, 0.1171875, 0.1036376953125, 0.058349609375, 0.06365966796875, 0.232666015625, 0.0732421875]]"
7,1,1,28.58099867,44.15154703,"[[0.043304443359375, 0.08465576171875, 0.2330322265625, 0.06317138671875, 0.11883544921875, 0.043975830078125, 0.0517578125, 0.10125732421875, 0.1959228515625, 0.06402587890625]]"
8,1,1,-2.000242646,39.04450522,"[[0.06707763671875, 0.054229736328125, 0.0777587890625, 0.050140380859375, 0.083251953125, 0.072265625, 0.24365234375, 0.04412841796875, 0.06280517578125, 0.24462890625]]"
9,1,1,11.71356404,48.19698379,"[[0.1307373046875, 0.08074951171875, 0.063720703125, 0.2244873046875, 0.104248046875, 0.11590576171875, 0.055206298828125, 0.08441162109375, 0.0770263671875, 0.06341552734375]]"
10,1,1,18.58239706,47.06958289,"[[0.1080322265625, 0.06341552734375, 0.08282470703125, 0.230712890625, 0.10302734375, 0.1048583984375, 0.046905517578125, 0.0838623046875, 0.1180419921875, 0.058380126953125]]"
11,-1,1,16.93260275,47.69606334,"[[0.1953125, 0.13671875, 0.0399169921875, 0.053863525390625, 0.093017578125, 0.2113037109375, 0.05267333984375, 0.0960693359375, 0.043182373046875, 0.07794189453125]]"
12,-1,1,16.75129108,47.31228161,"[[0.13330078125, 0.0731201171875, 0.062408447265625, 0.053924560546875, 0.140869140625, 0.228515625, 0.060638427734375, 0.06158447265625, 0.08319091796875, 0.10260009765625]]"
13,1,1,4.331394581,48.87355561,"[[0.036590576171875, 0.050201416015625, 0.2335205078125, 0.0968017578125, 0.102783203125, 0.041107177734375, 0.070556640625, 0.0673828125, 0.2259521484375, 0.07501220703125]]"
14,1,1,4.612521213,48.93582719,"[[0.1146240234375, 0.236572265625, 0.058135986328125, 0.05572509765625, 0.099365234375, 0.10992431640625, 0.0501708984375, 0.1588134765625, 0.05499267578125, 0.06158447265625]]"
15,1,1,2.512347378,49.06303928,"[[0.1571044921875, 0.06524658203125, 0.043548583984375, 0.073974609375, 0.08209228515625, 0.304931640625, 0.07159423828125, 0.055084228515625, 0.06195068359375, 0.08428955078125]]"
16,1,1,4.405090019,48.8113647,"[[0.041961669921875, 0.0755615234375, 0.18603515625, 0.0972900390625, 0.09063720703125, 0.044525146484375, 0.043975830078125, 0.1094970703125, 0.26416015625, 0.04644775390625]]"
17,1,1,4.01540939,48.45358546,"[[0.0648193359375, 0.0555419921875, 0.0670166015625, 0.06671142578125, 0.0567626953125, 0.0692138671875, 0.337158203125, 0.0445556640625, 0.051849365234375, 0.1864013671875]]"
18,1,1,-1.892912706,38.88302016,"[[0.0418701171875, 0.061187744140625, 0.19140625, 0.06494140625, 0.121826171875, 0.050506591796875, 0.05560302734375, 0.0748291015625, 0.260498046875, 0.07733154296875]]"
19,1,1,18.59133633,47.07515504,"[[0.1546630859375, 0.06292724609375, 0.049346923828125, 0.2164306640625, 0.0787353515625, 0.1781005859375, 0.062225341796875, 0.0650634765625, 0.06805419921875, 0.06439208984375]]"
20,1,1,2.359559417,47.03328453,"[[0.043670654296875, 0.0616455078125, 0.17822265625, 0.09912109375, 0.09771728515625, 0.05230712890625, 0.0460205078125, 0.092529296875, 0.277587890625, 0.0511474609375]]"
21,1,1,7.529845609,48.45509283,"[[0.07012939453125, 0.063720703125, 0.0645751953125, 0.072509765625, 0.05487060546875, 0.0748291015625, 0.33740234375, 0.049346923828125, 0.050872802734375, 0.161865234375]]"
22,1,1,-0.085018192,52.58758195,"[[0.0675048828125, 0.060882568359375, 0.06512451171875, 0.06884765625, 0.054718017578125, 0.072265625, 0.3427734375, 0.04632568359375, 0.050140380859375, 0.17138671875]]"
23,1,1,-0.263851197,46.11526912,"[[0.08099365234375, 0.1632080078125, 0.095458984375, 0.07403564453125, 0.135986328125, 0.06671142578125, 0.042449951171875, 0.1875, 0.08575439453125, 0.0677490234375]]"
24,1,1,2.836671838,48.94418694,"[[0.09124755859375, 0.0672607421875, 0.099609375, 0.072509765625, 0.173828125, 0.134765625, 0.060455322265625, 0.072265625, 0.12445068359375, 0.10382080078125]]"
25,1,1,22.44925143,51.01736922,"[[0.1405029296875, 0.2142333984375, 0.053680419921875, 0.0540771484375, 0.09417724609375, 0.12481689453125, 0.052947998046875, 0.148681640625, 0.0487060546875, 0.068115234375]]"
26,1,1,4.239719615,48.97729485,"[[0.07794189453125, 0.07867431640625, 0.086181640625, 0.297119140625, 0.068603515625, 0.06781005859375, 0.07513427734375, 0.0960693359375, 0.0970458984375, 0.05548095703125]]"
27,-1,1,-5.476211089,37.4237456,"[[0.059417724609375, 0.055755615234375, 0.08349609375, 0.057708740234375, 0.0789794921875, 0.05877685546875, 0.25732421875, 0.048553466796875, 0.06427001953125, 0.2357177734375]]"
28,1,1,26.21824771,44.33283608,"[[0.08734130859375, 0.228759765625, 0.0751953125, 0.084716796875, 0.0887451171875, 0.07244873046875, 0.04571533203125, 0.197509765625, 0.07110595703125, 0.048553466796875]]"
29,1,1,3.997719153,48.4478883,"[[0.08685302734375, 0.1024169921875, 0.06854248046875, 0.04974365234375, 0.09393310546875, 0.07568359375, 0.1778564453125, 0.07647705078125, 0.0504150390625, 0.218017578125]]"
30,1,1,4.244723556,48.5044748,"[[0.0888671875, 0.1710205078125, 0.07843017578125, 0.079833984375, 0.09259033203125, 0.08587646484375, 0.04296875, 0.2274169921875, 0.08160400390625, 0.05133056640625]]"
31,1,1,10.78090551,48.135949,"[[0.09503173828125, 0.093017578125, 0.102783203125, 0.04766845703125, 0.185791015625, 0.10986328125, 0.053741455078125, 0.0791015625, 0.12176513671875, 0.11126708984375]]"
32,1,1,15.04629409,53.36300117,"[[0.07391357421875, 0.2322998046875, 0.08428955078125, 0.08502197265625, 0.0758056640625, 0.058197021484375, 0.05584716796875, 0.2139892578125, 0.0728759765625, 0.047698974609375]]"
33,1,1,4.543389536,48.91487461,"[[0.1004638671875, 0.2451171875, 0.0665283203125, 0.0640869140625, 0.0821533203125, 0.0811767578125, 0.059356689453125, 0.180908203125, 0.06024169921875, 0.0599365234375]]"
34,1,1,4.439924563,48.94577476,"[[0.17333984375, 0.07611083984375, 0.039093017578125, 0.06787109375, 0.07757568359375, 0.3134765625, 0.062408447265625, 0.059661865234375, 0.0557861328125, 0.07464599609375]]"
35,1,1,15.98009248,48.62798248,"[[0.03515625, 0.0694580078125, 0.236328125, 0.09320068359375, 0.10736083984375, 0.034149169921875, 0.055938720703125, 0.09423828125, 0.213623046875, 0.060516357421875]]"
36,1,1,18.59948984,47.06904627,"[[0.06695556640625, 0.059478759765625, 0.065185546875, 0.06915283203125, 0.0546875, 0.071533203125, 0.342529296875, 0.04608154296875, 0.050018310546875, 0.17431640625]]"
37,1,1,18.32331428,46.98893785,"[[0.1654052734375, 0.06939697265625, 0.041656494140625, 0.0687255859375, 0.07989501953125, 0.313720703125, 0.06494140625, 0.05694580078125, 0.060028076171875, 0.0792236328125]]"
38,1,1,26.19772116,42.46117978,"[[0.206298828125, 0.114013671875, 0.0418701171875, 0.07684326171875, 0.10498046875, 0.2030029296875, 0.05084228515625, 0.08038330078125, 0.045196533203125, 0.07659912109375]]"
39,1,1,18.6060645,47.03957674,"[[0.041229248046875, 0.0511474609375, 0.1982421875, 0.06915283203125, 0.11419677734375, 0.05108642578125, 0.07012939453125, 0.06427001953125, 0.248779296875, 0.09173583984375]]"
40,1,1,1.823113392,48.47460312,"[[0.038970947265625, 0.09442138671875, 0.197021484375, 0.078857421875, 0.10162353515625, 0.0384521484375, 0.0401611328125, 0.1318359375, 0.2314453125, 0.047393798828125]]"
41,-1,1,22.8687979,49.84485828,"[[0.04827880859375, 0.05670166015625, 0.10986328125, 0.058135986328125, 0.073974609375, 0.048919677734375, 0.275634765625, 0.04876708984375, 0.07489013671875, 0.204833984375]]"
42,1,1,4.291981252,48.75640757,"[[0.038543701171875, 0.07647705078125, 0.2052001953125, 0.0966796875, 0.0963134765625, 0.042266845703125, 0.050445556640625, 0.09417724609375, 0.248779296875, 0.05108642578125]]"
43,1,1,4.434060785,48.80433285,"[[0.1483154296875, 0.1951904296875, 0.052337646484375, 0.056915283203125, 0.1015625, 0.136474609375, 0.044219970703125, 0.153076171875, 0.050140380859375, 0.061767578125]]"
44,-1,1,2.664627389,48.6433088,"[[0.21630859375, 0.08172607421875, 0.043060302734375, 0.07440185546875, 0.102783203125, 0.2275390625, 0.05255126953125, 0.06671142578125, 0.051849365234375, 0.08319091796875]]"
45,1,1,4.609296709,48.89270533,"[[0.06719970703125, 0.060546875, 0.0653076171875, 0.06884765625, 0.054718017578125, 0.0718994140625, 0.343017578125, 0.0462646484375, 0.0501708984375, 0.172119140625]]"
46,-1,1,1.313132767,48.34404438,"[[0.0670166015625, 0.053497314453125, 0.07232666015625, 0.054351806640625, 0.06976318359375, 0.06964111328125, 0.283203125, 0.0426025390625, 0.055145263671875, 0.232421875]]"
47,1,1,-5.648115261,37.37325103,"[[0.037261962890625, 0.054290771484375, 0.2374267578125, 0.06915283203125, 0.1123046875, 0.04052734375, 0.07598876953125, 0.0679931640625, 0.2135009765625, 0.091552734375]]"
48,1,1,26.24015931,44.57422163,"[[0.06878662109375, 0.06475830078125, 0.0653076171875, 0.067138671875, 0.055419921875, 0.07281494140625, 0.336181640625, 0.0478515625, 0.0489501953125, 0.1727294921875]]"
49,1,1,10.04159613,52.15608059,"[[0.08721923828125, 0.2425537109375, 0.072998046875, 0.07080078125, 0.08880615234375, 0.06793212890625, 0.05047607421875, 0.2041015625, 0.0626220703125, 0.05242919921875]]"
50,1,1,1.399957552,48.46402589,"[[0.060150146484375, 0.182861328125, 0.11773681640625, 0.09796142578125, 0.0999755859375, 0.047271728515625, 0.08782958984375, 0.1435546875, 0.07879638671875, 0.0838623046875]]"
51,-1,1,28.51085858,44.11886167,"[[0.0706787109375, 0.122802734375, 0.13916015625, 0.04766845703125, 0.1527099609375, 0.058135986328125, 0.07403564453125, 0.10076904296875, 0.1044921875, 0.1295166015625]]"
52,1,1,2.524780116,49.05386607,"[[0.09423828125, 0.057037353515625, 0.09844970703125, 0.0960693359375, 0.1387939453125, 0.1507568359375, 0.047454833984375, 0.0633544921875, 0.1788330078125, 0.074951171875]]"
53,1,1,1.533869623,48.26214168,"[[0.06781005859375, 0.06060791015625, 0.0653076171875, 0.07061767578125, 0.054107666015625, 0.0721435546875, 0.343505859375, 0.047332763671875, 0.050628662109375, 0.1678466796875]]"
54,-1,-1,2.727376615,48.9750485,"[[0.03863525390625, 0.1044921875, 0.20556640625, 0.08148193359375, 0.11468505859375, 0.03411865234375, 0.06048583984375, 0.1309814453125, 0.1611328125, 0.06854248046875]]"
55,-1,1,2.774146582,48.53188355,"[[0.143798828125, 0.09356689453125, 0.0640869140625, 0.1732177734375, 0.1099853515625, 0.134033203125, 0.05682373046875, 0.08074951171875, 0.07806396484375, 0.065673828125]]"
56,1,1,4.025148223,48.18263619,"[[0.070556640625, 0.06414794921875, 0.064697265625, 0.073486328125, 0.054931640625, 0.0753173828125, 0.3359375, 0.049713134765625, 0.05108642578125, 0.1602783203125]]"
57,1,1,4.266239883,48.41910293,"[[0.05328369140625, 0.0523681640625, 0.1510009765625, 0.1644287109375, 0.11309814453125, 0.06048583984375, 0.049285888671875, 0.07177734375, 0.226318359375, 0.05810546875]]"
58,1,1,11.50560494,53.36490883,"[[0.1722412109375, 0.08026123046875, 0.040069580078125, 0.060638427734375, 0.07684326171875, 0.310546875, 0.06640625, 0.059844970703125, 0.053466796875, 0.0797119140625]]"
59,1,1,-0.410643914,52.26121504,"[[0.06634521484375, 0.060272216796875, 0.067138671875, 0.071533203125, 0.05548095703125, 0.0701904296875, 0.33984375, 0.048065185546875, 0.052093505859375, 0.1690673828125]]"
60,-1,1,4.171506588,48.94709923,"[[0.07489013671875, 0.09271240234375, 0.1064453125, 0.043182373046875, 0.1494140625, 0.07562255859375, 0.1087646484375, 0.0714111328125, 0.0882568359375, 0.1893310546875]]"
61,-1,-1,4.717912376,48.93747477,"[[0.041656494140625, 0.1279296875, 0.190673828125, 0.07763671875, 0.110595703125, 0.0361328125, 0.04815673828125, 0.15283203125, 0.1588134765625, 0.055572509765625]]"
62,-1,-1,-0.447959966,52.2979807,"[[0.045318603515625, 0.12255859375, 0.1614990234375, 0.111572265625, 0.08111572265625, 0.042572021484375, 0.042327880859375, 0.1866455078125, 0.1658935546875, 0.040557861328125]]"
63,1,1,4.240394773,48.44976371,"[[0.1787109375, 0.070556640625, 0.03790283203125, 0.07037353515625, 0.07733154296875, 0.315673828125, 0.06463623046875, 0.05615234375, 0.051788330078125, 0.07684326171875]]"
64,-1,1,4.213229861,48.98342727,"[[0.10076904296875, 0.059326171875, 0.07244873046875, 0.254150390625, 0.07574462890625, 0.12493896484375, 0.07940673828125, 0.06451416015625, 0.10174560546875, 0.0670166015625]]"
65,1,1,4.132989724,48.3520891,"[[0.0687255859375, 0.06231689453125, 0.064697265625, 0.07086181640625, 0.05474853515625, 0.0732421875, 0.3408203125, 0.04827880859375, 0.050689697265625, 0.1656494140625]]"
66,1,1,26.22942252,44.49360815,"[[0.0963134765625, 0.07501220703125, 0.0684814453125, 0.28515625, 0.07354736328125, 0.10430908203125, 0.06463623046875, 0.0897216796875, 0.0897216796875, 0.053192138671875]]"
67,1,1,2.797048722,49.00636002,"[[0.08203125, 0.055511474609375, 0.07073974609375, 0.056976318359375, 0.08953857421875, 0.08062744140625, 0.212646484375, 0.044921875, 0.056915283203125, 0.25]]"
68,-1,1,15.94446856,48.61075688,"[[0.0372314453125, 0.09173583984375, 0.2261962890625, 0.06671142578125, 0.1278076171875, 0.033721923828125, 0.05938720703125, 0.10491943359375, 0.177490234375, 0.0748291015625]]"
69,1,1,12.16684377,53.44718609,"[[0.13525390625, 0.2088623046875, 0.052490234375, 0.06634521484375, 0.09503173828125, 0.10833740234375, 0.05023193359375, 0.1671142578125, 0.04815673828125, 0.0682373046875]]"
