index,hit@1,hit@3,lon,lat
0,-1,-1,18.26889353,46.9378412
1,1,1,4.261480855,48.82590978
2,1,1,16.33749369,48.38533523
3,1,1,11.30866211,53.13592287
4,-1,-1,18.5633555,47.04091533
5,1,1,9.182038252,57.0401314
6,1,1,-1.952073025,39.00622313
7,-1,1,28.58099867,44.15154703
8,-1,1,-2.000242646,39.04450522
9,1,1,11.71356404,48.19698379
10,1,1,18.58239706,47.06958289
11,-1,1,16.93260275,47.69606334
12,-1,1,16.75129108,47.31228161
13,1,1,4.331394581,48.87355561
14,1,1,4.612521213,48.93582719
15,1,1,2.512347378,49.06303928
16,1,1,4.405090019,48.8113647
17,1,1,4.01540939,48.45358546
18,1,1,-1.892912706,38.88302016
19,1,1,18.59133633,47.07515504
20,1,1,2.359559417,47.03328453
21,1,1,7.529845609,48.45509283
22,1,1,-0.085018192,52.58758195
23,-1,1,-0.263851197,46.11526912
24,-1,1,2.836671838,48.94418694
25,1,1,22.44925143,51.01736922
26,1,1,4.239719615,48.97729485
27,-1,1,-5.476211089,37.4237456
28,1,1,26.21824771,44.33283608
29,-1,1,3.997719153,48.4478883
30,-1,1,4.244723556,48.5044748
31,-1,1,10.78090551,48.135949
32,1,1,15.04629409,53.36300117
33,1,1,4.543389536,48.91487461
34,1,1,4.439924563,48.94577476
35,1,1,15.98009248,48.62798248
36,1,1,18.59948984,47.06904627
37,1,1,18.32331428,46.98893785
38,-1,-1,26.19772116,42.46117978
39,1,1,18.6060645,47.03957674
40,1,1,1.823113392,48.47460312
41,-1,1,22.8687979,49.84485828
42,1,1,4.291981252,48.75640757
43,1,1,4.434060785,48.80433285
44,-1,-1,2.664627389,48.6433088
45,1,1,4.609296709,48.89270533
46,-1,1,1.313132767,48.34404438
47,1,1,-5.648115261,37.37325103
48,1,1,26.24015931,44.57422163
49,1,1,10.04159613,52.15608059
50,-1,1,1.399957552,48.46402589
51,-1,1,28.51085858,44.11886167
52,-1,1,2.524780116,49.05386607
53,1,1,1.533869623,48.26214168
54,-1,-1,2.727376615,48.9750485
55,-1,-1,2.774146582,48.53188355
56,1,1,4.025148223,48.18263619
57,-1,1,4.266239883,48.41910293
58,1,1,11.50560494,53.36490883
59,1,1,-0.410643914,52.26121504
60,-1,-1,4.171506588,48.94709923
61,-1,-1,4.717912376,48.93747477
62,-1,-1,-0.447959966,52.2979807
63,1,1,4.240394773,48.44976371
64,-1,1,4.213229861,48.98342727
65,1,1,4.132989724,48.3520891
66,1,1,26.22942252,44.49360815
67,1,1,2.797048722,49.00636002
68,-1,-1,15.94446856,48.61075688
69,1,1,12.16684377,53.44718609
70,-1,1,2.325142826,49.18089594
71,1,1,-2.065143781,38.9720417
72,1,1,4.401555407,49.01369464
73,1,1,18.57150732,47.03480859
74,1,1,2.725729506,47.02686933
75,1,1,1.482433672,48.51726986
76,-1,-1,22.50579018,52.27746026
77,-1,-1,15.93768996,54.12918674
78,-1,1,4.555910119,49.18363901
79,1,1,24.75631041,43.54831707
80,-1,-1,-5.417656143,37.43081798
81,-1,-1,-5.675628333,37.4150139
82,-1,-1,-1.876620359,39.09077028
83,1,1,18.03547367,51.7084399
84,-1,1,18.34330256,47.03516854
85,1,1,3.685062085,48.34187656
86,-1,1,27.39275698,44.22242963
87,-1,-1,16.84883247,47.16933691
88,1,1,4.204351485,48.98352031
89,-1,1,18.34147789,47.00596364
90,1,1,4.469973685,48.82143652
91,-1,1,2.492902866,48.98939969
92,-1,1,16.06760445,48.69153633
93,-1,1,17.49437386,48.49340458
94,-1,1,16.68591993,51.77121074
95,1,1,4.204210539,48.97767101
96,1,1,2.909783409,49.12575383
97,-1,1,22.85932049,49.8333187
98,-1,1,4.682432451,48.95161522
99,1,1,1.893762739,48.4786177
100,1,1,2.893135885,49.161886
101,1,1,2.909794019,49.11990445
102,1,1,4.239429556,48.9655964
103,-1,-1,-1.775179784,38.71262561
104,-1,1,2.235146361,49.27773798
105,1,1,4.504012405,48.95724417
106,1,1,0.907804404,49.01924707
107,1,1,-1.86957307,39.06141006
108,-1,1,16.59745399,47.15530072
109,1,1,2.072540942,48.40600183
110,1,1,10.79822647,48.20691573
111,-1,1,20.47409877,46.17036982
112,1,1,18.30627013,47.14017724
113,1,1,4.532138225,48.9746551
114,-1,-1,1.556299394,48.7424679
115,-1,1,4.307250639,48.8417272
116,-1,-1,22.9494368,49.86795722
117,1,1,2.665895186,49.08663687
118,1,1,4.207238347,49.04952224
119,1,1,4.040519165,48.46552612
120,-1,1,27.95410509,43.61972792
121,1,1,2.473088277,47.16307487
122,-1,-1,10.41038527,56.49383583
123,1,1,15.84621664,48.54149527
124,1,1,-5.574281934,37.38284288
125,-1,1,11.7705265,53.55659773
126,-1,1,16.63936074,47.07992035
127,-1,1,4.563489594,49.10791656
128,1,1,10.78307441,48.21170118
129,1,1,4.298687336,48.85352266
130,1,1,11.97519966,53.47625895
131,1,1,4.41686702,49.04718462
132,-1,1,-2.14942747,39.0809752
133,1,1,16.04074984,48.75833703
134,1,1,1.645580873,49.25708571
135,-1,1,18.65097768,47.15376507
136,-1,1,1.326833436,48.2702853
137,1,1,24.47479607,43.4706667
138,-1,1,27.38480273,44.25170823
139,1,1,18.29626562,47.11706956
140,1,1,4.375163193,49.08756134
141,1,1,4.237031124,48.71758286
142,1,1,5.901906426,49.11955546
143,1,1,2.112571168,48.36957781
144,-1,1,17.9640462,46.07522521
145,1,1,12.15793852,53.45911936
146,1,1,17.9227845,46.05863806
147,-1,-1,4.425210693,48.80444263
148,1,1,20.47415458,46.16451361
149,-1,-1,4.553856685,49.08465148
150,1,1,18.54322961,47.34066868
151,1,1,4.343115491,48.92927087
152,-1,1,2.08759304,48.44739268
153,-1,-1,18.11416755,51.88235766
154,-1,1,14.73263588,50.96765444
155,1,1,18.31961931,46.89695612
156,1,1,4.332077199,49.11476077
157,1,1,20.15953416,46.19844694
158,1,1,1.821617096,48.57064793
159,-1,1,26.24038787,44.55666178
160,1,1,2.13562531,49.09164615
161,1,1,4.135559681,48.96833991
162,1,1,27.45764424,43.60816201
163,-1,1,16.77967182,51.83977303
164,1,1,16.21966673,48.41714789
165,-1,1,24.48248299,43.46457625
166,1,1,4.444163513,52.08143093
167,-1,1,25.95089592,44.49043077
168,1,1,10.90449495,48.11680843
169,-1,1,18.05875012,45.98701983
170,-1,1,28.51898003,44.11875395
171,1,1,18.55559043,47.05286192
172,-1,1,18.34220742,47.01764562
173,1,1,18.55714609,47.07622339
174,-1,-1,4.243418998,49.05222547
175,-1,1,4.15234721,48.98632713
176,-1,-1,0.961506295,48.92494747
177,1,1,24.43877406,43.59294017
178,-1,1,24.43903029,43.51166736
179,-1,1,22.3117456,51.06772822
180,-1,1,-1.862061461,39.061337
181,1,1,-1.963143268,38.9038436
182,-1,1,4.204069638,48.97182171
183,1,1,23.8250672,44.39899009
184,1,1,24.39235936,43.53129319
185,1,1,4.475197404,48.88295761
186,-1,-1,16.77995034,51.82921927
187,1,1,5.801546925,52.53678808
188,1,1,18.58043947,47.0403818
189,1,1,18.59830933,47.05152597
190,1,1,16.71031981,51.80675441
191,-1,1,10.23140829,55.52245896
192,1,1,4.126683639,48.96842695
193,1,1,17.51241197,48.28576463
194,1,1,4.33141105,48.43239034
195,-1,1,4.172281099,48.92570691
196,1,1,16.21952676,48.41129631
197,1,1,4.211516366,48.39529573
198,1,1,10.09141597,52.19800948
199,1,1,4.474293867,49.01926652
200,1,1,18.10140219,48.21010959
201,-1,-1,16.14178261,51.5885176
202,1,1,18.03455904,45.95784576
203,1,1,4.663318884,48.88184998
204,-1,1,4.279334231,48.83155778
205,1,1,17.01097608,51.32780507
206,-1,1,4.324656605,48.78857006
207,1,1,4.307425698,48.806303
208,-1,-1,-1.907131518,39.06176811
209,1,1,4.307098455,48.83587959
210,1,1,15.97126829,48.62805724
211,1,1,4.47522888,48.93948557
212,1,1,4.514577817,49.01359481
213,-1,1,4.238676527,48.74529414
214,-1,1,4.177339179,48.31884151
215,1,1,3.065765517,48.97826285
216,1,1,4.440006261,48.92568812
217,1,1,2.233626614,48.43868661
218,1,1,11.97660914,53.61826467
219,-1,1,2.326655064,46.99726849
220,-1,1,2.325222243,49.17505459
221,1,1,18.63305848,47.14263304
222,1,1,4.242944635,48.82910901
223,-1,1,0.099389769,45.48398108
224,1,1,1.736967831,48.92223502
225,1,1,-0.53634846,52.15774784
226,1,1,24.42303882,43.59926413
227,-1,1,-5.621126155,37.34928401
228,-1,1,21.42181066,49.07850777
229,1,1,18.52175049,47.15785545
230,-1,-1,18.03487815,45.96368529
231,1,1,2.163726127,48.38795353
232,-1,1,24.49151587,43.48186939
233,1,1,4.015176113,48.44188371
234,-1,1,3.004084022,48.86634301
235,-1,1,27.35214193,44.15609683
236,1,1,18.2848757,46.91982823
237,1,1,4.311487574,48.89730143
238,-1,1,10.90270916,53.46729398
239,-1,1,20.44386964,46.16177306
240,1,1,4.24567402,48.92839872
241,1,1,2.936217366,48.62485868
242,1,1,4.448524582,49.03748618
243,1,1,4.466575327,48.89721462
244,1,1,10.96176212,48.2379706
245,1,1,-1.876806179,39.07905524
246,1,1,5.615351962,52.55310775
247,-1,1,4.424547929,48.78104262
248,1,1,4.15221246,48.98048313
249,1,1,27.36032035,44.24593778
250,1,1,16.83190256,47.17546442
251,1,1,4.539655151,48.89732465
252,-1,-1,18.31667375,51.67656699
253,-1,1,1.75759059,48.89068105
254,-1,1,12.28799374,53.34758414
255,1,1,18.57306895,47.05816972
256,1,1,24.4391071,43.59878131
257,1,1,2.395087408,49.0822185
258,1,1,28.11109037,45.49352723
259,-1,1,2.758337794,49.06461944
