index,hit@1,hit@3,lon,lat
0,1,1,73.91560164,18.58184869
1,-1,1,73.91560164,18.58184869
2,-1,1,73.91560164,18.58184869
3,1,1,73.91560164,18.58184869
4,1,1,73.91560164,18.58184869
5,1,1,73.91560164,18.58184869
6,-1,-1,73.91560164,18.58184869
7,-1,-1,73.91560164,18.58184869
8,1,1,26.93831858,49.35902212
9,1,1,26.93831858,49.35902212
10,1,1,26.93831858,49.35902212
11,-1,-1,26.93831858,49.35902212
12,1,1,26.93831858,49.35902212
13,-1,-1,26.93831858,49.35902212
14,1,1,26.93831858,49.35902212
15,1,1,26.93831858,49.35902212
16,1,1,26.93831858,49.35902212
17,1,1,-70.929554,-17.17999795
18,1,1,-70.929554,-17.17999795
19,1,1,-70.929554,-17.17999795
20,1,1,-70.929554,-17.17999795
21,1,1,-70.929554,-17.17999795
22,1,1,-70.929554,-17.17999795
23,1,1,-70.929554,-17.17999795
24,1,1,-70.929554,-17.17999795
25,-1,-1,-70.929554,-17.17999795
26,-1,-1,103.9088998,1.359999688
27,1,1,116.1016459,-8.561433091
28,1,1,116.1016459,-8.561433091
29,-1,-1,116.1016459,-8.561433091
30,-1,1,116.101645,-8.561434
31,1,1,116.1016459,-8.561433091
32,1,1,116.1016459,-8.561433091
33,-1,1,116.1016459,-8.561433091
34,1,1,116.1016459,-8.561433091
35,-1,-1,116.1016459,-8.561433091
36,-1,1,50.27270177,29.8400722
37,1,1,50.27270213,29.84007376
38,1,1,50.27270014,29.84007035
39,1,1,50.27270177,29.8400722
40,1,1,50.27270177,29.8400722
41,1,1,50.27270177,29.8400722
42,1,1,50.27270177,29.8400722
43,1,1,50.27270177,29.8400722
44,1,1,50.27270177,29.8400722
45,-1,-1,50.27270177,29.8400722
46,-1,-1,25.58900075,29.55519852
47,-1,1,25.58900075,29.55519852
48,-1,1,25.58900075,29.55519852
49,1,1,25.58900143,29.55519951
50,1,1,25.58899992,29.55519778
51,1,1,25.58899917,29.55519658
52,1,1,25.5890003,29.55519799
53,1,1,25.58900024,29.55519815
54,-1,1,25.58900098,29.55519899
55,1,1,25.5890008,29.55519858
56,1,1,25.58900087,29.55519887
57,1,1,25.58900143,29.55519951
58,1,1,25.58900075,29.55519852
59,1,1,25.58900075,29.55519852
60,1,1,25.58900075,29.55519852
61,1,1,25.58900075,29.55519852
62,1,1,25.58900075,29.55519852
63,1,1,-99.75459846,16.75994031
64,1,1,-99.75459774,16.75994105
65,1,1,-99.75460004,16.75993867
66,1,1,-99.75459787,16.75994092
67,1,1,-99.75459775,16.75994105
68,-1,1,-99.75459854,16.75994014
69,1,1,-99.75459839,16.75994038
70,1,1,-99.75459846,16.75994031
71,1,1,-99.75459846,16.75994031
72,-1,1,-99.75459846,16.75994031
73,-1,-1,-99.75459846,16.75994031
74,1,1,-99.75459846,16.75994031
75,1,1,16.16096204,29.13786881
76,1,1,16.16096204,29.13786881
77,1,1,16.16096204,29.13786881
78,-1,1,16.16096171,29.13786843
79,1,1,16.16096149,29.13787038
80,1,1,16.16096319,29.13787012
81,1,1,16.16096327,29.1378705
82,1,1,16.16096224,29.13786903
83,1,1,16.16096261,29.13786912
84,-1,-1,16.16096311,29.13786968
85,1,1,16.16096204,29.13786881
86,1,1,16.16096204,29.13786881
87,1,1,16.16096204,29.13786881
88,-1,-1,16.16096204,29.13786881
89,1,1,16.16096204,29.13786881
90,1,1,36.61888791,28.3654153
91,1,1,36.61888791,28.3654153
92,1,1,36.61888791,28.3654153
93,-1,1,36.61888904,28.36541546
94,1,1,36.61888903,28.36541515
95,-1,1,36.61888935,28.36541611
96,1,1,36.61888978,28.36541629
97,-1,-1,36.61888858,28.36541433
98,1,1,36.61888958,28.36541578
99,-1,1,36.61888873,28.36541546
100,1,1,36.61888953,28.36541543
101,-1,-1,36.61888791,28.3654153
102,-1,-1,36.61888791,28.3654153
