index,hit@1,hit@3,lon,lat
0,-1,-1,105.8634897,13.1548949
1,-1,1,105.8634897,13.1548949
2,1,1,105.8634897,13.1548949
3,1,1,105.8634897,13.1548949
4,1,1,105.8634897,13.1548949
5,1,1,105.8634897,13.1548949
6,-1,1,105.8634897,13.1548949
7,-1,-1,105.8634897,13.1548949
8,-1,-1,105.8634897,13.1548949
9,1,1,105.8634897,13.1548949
10,-1,1,105.8634897,13.1548949
11,1,1,105.8634897,13.1548949
12,1,1,105.8634897,13.1548949
13,1,1,105.8634897,13.1548949
14,-1,1,105.8634897,13.1548949
15,1,1,105.8634897,13.1548949
16,1,1,105.8780744,13.18347867
17,-1,1,105.8780744,13.18347867
18,1,1,105.8780744,13.18347867
19,1,1,105.8780744,13.18347867
20,1,1,105.8780744,13.18347867
21,1,1,105.8780744,13.18347867
22,1,1,105.8780744,13.18347867
23,-1,1,105.8780744,13.18347867
24,1,1,105.8780744,13.18347867
25,-1,-1,105.8780744,13.18347867
26,-1,-1,105.8780744,13.18347867
27,-1,1,105.8780744,13.18347867
28,1,1,105.8780744,13.18347867
29,1,1,105.8780744,13.18347867
30,-1,-1,105.8780744,13.18347867
31,-1,1,105.8780744,13.18347867
32,1,1,-91.01456615,30.21185036
33,-1,-1,-91.01456615,30.21185036
34,-1,-1,-91.01456615,30.21185036
35,-1,-1,-91.01456615,30.21185036
36,-1,-1,-91.01456615,30.21185036
37,1,1,-91.01456615,30.21185036
38,1,1,-91.01456615,30.21185036
39,-1,1,-91.01456615,30.21185036
40,1,1,-91.01456615,30.21185036
41,-1,-1,-91.01456615,30.21185036
42,-1,-1,-91.01456615,30.21185036
43,-1,-1,-91.01456615,30.21185036
44,1,1,-91.01456615,30.21185036
45,-1,-1,-91.01456615,30.21185036
46,-1,-1,-91.01456615,30.21185036
47,-1,-1,-91.01456615,30.21185036
48,1,1,43.14549484,14.79005219
49,-1,1,43.14549484,14.79005219
50,-1,-1,43.14549484,14.79005219
51,1,1,43.14549484,14.79005219
52,1,1,43.14549484,14.79005219
53,-1,1,43.14549484,14.79005219
54,-1,1,43.14549484,14.79005219
55,-1,1,43.14549484,14.79005219
56,-1,-1,43.14549484,14.79005219
57,-1,1,43.14549484,14.79005219
58,-1,-1,43.14549484,14.79005219
59,-1,1,43.14549484,14.79005219
60,-1,-1,43.14549484,14.79005219
61,-1,-1,43.14549484,14.79005219
62,-1,-1,43.14549484,14.79005219
63,-1,1,43.14549484,14.79005219
64,-1,-1,-61.45690283,6.18265028
65,1,1,-61.45690283,6.18265028
66,1,1,-61.45690283,6.18265028
67,-1,-1,-61.45690283,6.18265028
68,1,1,-61.45690283,6.18265028
69,-1,1,-61.45690283,6.18265028
70,-1,1,-61.45690283,6.18265028
71,1,1,-61.45690283,6.18265028
72,1,1,-61.45690283,6.18265028
73,-1,1,-61.45690283,6.18265028
74,1,1,-61.45690283,6.18265028
75,1,1,-61.45690283,6.18265028
76,1,1,-61.45690283,6.18265028
77,1,1,-61.45690283,6.18265028
78,-1,-1,-61.45690283,6.18265028
79,-1,1,-61.45690283,6.18265028
80,-1,-1,39.37082127,14.51969598
81,-1,-1,39.37082127,14.51969598
82,-1,-1,39.37082127,14.51969598
83,-1,-1,39.37082127,14.51969598
84,-1,1,39.37082127,14.51969598
85,1,1,39.37082127,14.51969598
86,1,1,39.37082127,14.51969598
87,1,1,39.37082127,14.51969598
88,1,1,39.37082127,14.51969598
89,-1,-1,39.37082127,14.51969598
90,-1,-1,39.37082127,14.51969598
91,1,1,39.37082127,14.51969598
92,1,1,39.37082127,14.51969598
93,-1,-1,39.37082127,14.51969598
94,-1,1,39.37082127,14.51969598
95,1,1,39.37082127,14.51969598
96,-1,1,34.26598406,31.27815721
97,1,1,34.26598406,31.27815721
98,1,1,34.26598406,31.27815721
99,-1,-1,34.26598406,31.27815721
100,-1,-1,34.26598406,31.27815721
101,1,1,34.26598406,31.27815721
102,-1,-1,34.26598406,31.27815721
103,1,1,34.26598406,31.27815721
104,-1,-1,34.26598406,31.27815721
105,1,1,34.26598406,31.27815721
106,-1,-1,34.26598406,31.27815721
107,1,1,34.26598406,31.27815721
108,1,1,34.26598406,31.27815721
109,1,1,34.26598406,31.27815721
110,1,1,34.26598406,31.27815721
111,1,1,34.26598406,31.27815721
112,-1,-1,34.26598406,31.29241785
113,1,1,34.26598406,31.29241785
114,-1,-1,34.26598406,31.29241785
115,1,1,34.26598406,31.29241785
116,-1,-1,34.26598406,31.29241785
117,1,1,34.26598406,31.29241785
118,1,1,34.26598406,31.29241785
119,1,1,34.26598406,31.29241785
120,-1,-1,34.26598406,31.29241785
121,-1,-1,34.26598406,31.29241785
122,1,1,34.26598406,31.29241785
123,-1,-1,34.26598406,31.29241785
124,1,1,34.26598406,31.29241785
